Year,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Electors,Position,Sex,Party,Votes,Candidate,Margin_Percentage
2018,87,RANIBENNUR,80.34,35.64,223209,1,Male,KPJP,63910,R SHANKAR S/O M RAMACHANDRA,2.42
2018,88,HADAGALLI,78.27,38.65,178834,1,Male,INC,54097,P. T. PARAMESHWARA NAIK,6.56
2018,89,HAGARIBOMMANAHALLI,80.99,44.46,217545,1,Male,INC,78337,BHEEMA NAIK L.B.P.,4.1
2018,90,VIJAYANAGARA,75.29,50.09,220653,1,Male,INC,83214,ANAND SINGH,4.95
2018,91,KAMPLI,80.08,48.62,206998,1,Male,INC,80592,J N GANESH,3.35
2018,92,SIRUGUPPA,76.29,54.25,199425,1,Male,BJP,82546,M.S. SOMALINGAPPA,13.98
2018,93,BELLARY,75.88,48.54,214975,1,Male,INC,79186,B NAGENDRA,1.64
2018,94,BELLARY CITY,66.33,50.63,228051,1,Male,BJP,76589,G. SOMASEKHARA REDDY,10.68
2018,95,SANDUR,75.18,49.53,209776,1,Male,INC,78106,E TUKARAM,8.88
2018,96,KUDLIGI,78.19,32.93,194484,1,Male,BJP,50085,N.Y. GOPALAKRISHNA,7.11
2018,97,MOLAKALMURU,84.77,43.63,227137,1,Male,BJP,84018,B. SREERAMULU,21.84
2018,98,CHALLAKERE,81.84,43.12,206504,1,Male,INC,72874,T RAGHUMURTHY,8.01
2018,99,CHITRADURGA,76.87,43.78,246346,1,Male,BJP,82896,G H THIPPAREDDY,17.42
2018,100,HIRIYUR,81.14,41.17,232662,1,Male,BJP,77733,K POORNIMA,6.82
2018,101,HOSADURGA,86.24,56.66,185360,1,Male,BJP,90562,GULIHATTI D SHEKAR,16.26
2018,102,HOLALKERE,84.57,57.29,222871,1,Male,BJP,107976,M. CHANDRAPPA,20.66
2018,103,JAGALUR,78.94,53.22,187914,1,Male,BJP,78948,S.V.RAMACHANDRA,19.7
2018,104,HARAPANAHALLI,83.73,40.14,201133,1,Male,BJP,67603,G KARUNAKARA REDDY,5.73
2018,105,HARIHAR,78.75,39.29,209437,1,Male,INC,64801,S RAMAPPA,4.4
2018,106,DAVANAGERE NORTH,67.49,48.65,233107,1,Male,BJP,76540,S.A. RAVINDRANATH,2.59
2018,107,DAVANAGERE SOUTH,67.64,52.45,201184,1,Male,INC,71369,SHAMANUR SHIVASHANKARAPPA,11.67
2018,108,MAYAKONDA,83.06,32.58,186817,1,Male,BJP,50556,N. LINGANNA.,4.16
2018,109,CHANNAGIRI,81.55,46.68,193870,1,Male,BJP,73794,K MADALU VIRUPAKSHAPPA,16.31
2018,110,HONNALI,84.87,49.81,190715,1,Male,BJP,80624,M P RENUKACHARYA,2.62
2018,111,SHIMOGA RURAL,83.18,40.25,207074,1,Male,BJP,69326,K.B. ASHOK NAIK,2.19
2018,112,BHADRAVATI,75.99,49.53,201187,1,Male,INC,75722,B.K.SANGAMESHWARA.,7.57
2018,113,SHIMOGA,69.9,60.36,246564,1,Male,BJP,104027,K.S. ESHWARAPPA,26.75
2018,114,TIRTHAHALLI,87.32,43.03,179705,1,Male,BJP,67527,ARAGA JNANENDRA,13.99
2018,115,SHIKARIPURA,83.74,56.16,184956,1,Male,BJP,86983,B S YADIYURAPPA,22.85
2018,116,SORAB,85.8,46.15,182035,1,Male,BJP,72091,S.KUMARA BANGARAPPA,8.51
2018,117,SAGAR,80.8,50.65,191772,1,Male,BJP,78475,H HALAPPA HARATHALU,5.19
2018,118,BYNDOOR,80.74,54.34,218894,1,Male,BJP,96029,B. M. SUKUMAR SHETTY,13.8
2018,119,KUNDAPURA,80.49,65.2,197109,1,Male,BJP,103434,HALADY SRINIVAS SHETTY,35.55
2018,120,UDUPI,79.69,52.31,203804,1,Male,BJP,84946,K RAGHUPATHI BHAT,7.42
2018,121,KAPU,80.33,52.54,179828,1,Male,BJP,75893,LALAJI .R. MENDON,8.25
2018,122,KARKAL,81.51,62.52,179029,1,Male,BJP,91245,V. SUNIL KUMAR,29.17
2018,123,SRINGERI,84.52,45.81,162160,1,Male,INC,62780,T D RAJEGOWDA,1.45
2018,124,MUDIGERE,78.65,44.76,166957,1,Male,BJP,58783,M.P.KUMARASWAMY,9.53
2018,125,CHIKMAGALUR,77.31,43.98,208432,1,Male,BJP,70863,C T RAVI,16.33
2018,126,TARIKERE,83,30.04,180224,1,Male,BJP,44940,D S SURESH,7.81
2018,127,KADUR,81.81,38.97,195194,1,Male,BJP,62232,K S PRAKASH,9.63
2018,128,CHIKNAYAKANHALLI,85.92,38.53,210277,1,Male,BJP,69612,J.C. MADHU SWAMY,5.69
2018,129,TIPTUR,84.53,40.5,179318,1,Male,BJP,61383,B.C. NAGESH,16.87
